domaine,annee,nom_module,niveau,classe,nb_groupes,anglais,charge_horaire,coordinateur,nouveau_module,ecole,lien_github,lien_youtube,lien_blackboard,remarque
Mathématiques et Statistiques,2020-2021,Algèbre 2,Licence,LMAD,1,False,84,True,False,ESB,https://github.com/Aymenbenbrik/Algebre2,https://www.youtube.com/playlist?list=PLTuHP93TC8cyiFERpbYQ_0ss9rH7VICS0,https://esprit.blackboard.com/ultra/courses/_26547_1/outline,Se permettre de travailler avec des matrices de grande dimension donc plus proche de la réalité. Problème Page Rank par exemple
Mathématiques et Statistiques,2020-2021,Analyse 4,Licence,LMAD,1,False,84,True,True,ESB,https://github.com/Aymenbenbrik/Analyse4,,https://esprit.blackboard.com/ultra/courses/_26550_1/outline,"On explique avec ce module, la différence entre travailler dans R et travailler dans un espace multidimensionnel, l'étudiant aura une vision plus vaste sur des notions basiques d'analyse : Les limites, les directions, les dérivées -> Différentiation, les distances et les normes"
Mathématiques et Statistiques,2020-2021,Analyse statistique avec R,Licence,LMAD,1,False,21,True,False,ESB,https://github.com/Aymenbenbrik/AnalyseStatistiqueR,,https://esprit.blackboard.com/ultra/courses/_26553_1/outline|https://esprit.blackboard.com/ultra/courses/_26554_1/outline,"Cours enrichi avec l'arrivée de la plateforme Tekouin, tous les exercices pratiques sont disponibles sur la plateforme"
Mathématiques et Statistiques,2020-2021,Mathématiques appliquées à la gestion,Master,CCA,1,False,10,True,True,ESB,,,https://esprit.blackboard.com/ultra/courses/_3002_1/outline,Un cours de mise à niveau pour les étudiants de Master : CCA afin de pouvoir suivre avec aisance le module proposé en double diplôme avec Le Mans. Le programme du cours de soutien a été élaboré en collaboration avec notre partenaire
Mathématiques et Statistiques,2021-2022,Algèbre 1,Licence,LMAD,1,False,84,True,False,ESB,https://github.com/Aymenbenbrik/Algebre1-2022-,,https://esprit.blackboard.com/ultra/courses/_26545_1/outline,"Intégration de Matlab pour le calcul dans R[X], résolution des polynômes et décomposition des fractions rationnelles"
Mathématiques et Statistiques,2021-2022,Algèbre 3,Licence,LMAD,1,False,84,True,False,ESB,https://github.com/Aymenbenbrik/Algebre3,,https://esprit.blackboard.com/ultra/courses/_26548_1/outline,
Mathématiques et Statistiques,2021-2022,Probabilités,Licence,LMAD,1,False,84,True,True,ESB,https://github.com/Aymenbenbrik/Probabilites,,https://esprit.blackboard.com/ultra/courses/_26563_1/outline,Cours de base contenant les fondements de l'intégration et les fondements de la Probabilité
Mathématiques et Statistiques,2021-2022,Intégration et Probabilités,Master,GAMMA,1,False,50,True,True,ESB,https://github.com/Aymenbenbrik/Probabilites,,https://esprit.blackboard.com/ultra/courses/_3719_1/outline,Cours proposé en première période pour les étudiants du Master GAMMA pour qu'ils puissent suivre les cours d'Actuariat et Mesure de risque
Mathématiques et Statistiques,2021-2022,Statistiques inférentielles,Master,GAMMA,1,False,15,True,True,ESB,https://github.com/Aymenbenbrik/StatistiquesInf-rentielles,,https://esprit.blackboard.com/ultra/courses/_3724_1/outline,Cours en coconstruction en collaboration avec monsieur Samir Ben Hariz de l'université du Mans.
Mathématiques et Statistiques,2021-2022,Probabilités et Statistiques,Master,MKD/MDSI,1,False,20,True,False,ESB,https://github.com/Aymenbenbrik/AnalyseStatistiqueR,,https://esprit.blackboard.com/ultra/courses/_26564_1/outline,Cours d'harmonisation pour les étudiants de la section Exécutive. (Cours du soir + Samedi)
Mathématiques et Statistiques,2021-2022,Analyse 4,Licence,LMAD,1,False,84,True,False,ESB,https://github.com/Aymenbenbrik/Analyse4,,https://esprit.blackboard.com/ultra/courses/_26550_1/outline,
Sciences des données,2021-2022,Séries Temporelles,Master,GAMMA,1,False,10,True,False,ESB,https://github.com/Aymenbenbrik/TimeSeriesR,https://www.youtube.com/playlist?list=PLTuHP93TC8cwcfvRb7T3O3izAmt_OzwyF,https://esprit.blackboard.com/ultra/courses/_2968_1/outline,Cours de Séries temporelles avec un focus sur l'analyse des données chronologiques issues de la bourse
Mathématiques et Statistiques,2021-2022,Statistiques,Licence,LMAD,1,False,15,True,True,ESB,https://github.com/Aymenbenbrik/StatistiquesInf-rentielles,,https://esprit.blackboard.com/ultra/courses/_26569_1/outline,
Sciences des données,2021-2022,Modèles linéaires généralisés,Master,GAMMA,1,False,15,True,True,ESB,https://github.com/Aymenbenbrik/Unsupervised-Learning,,https://esprit.blackboard.com/ultra/courses/_2976_1/outline,Cours Co-Construit en collaboration avec monsieur Samir Ben Hariz de l'université du Mans
Intelligence Artificielle,2021-2022,Optimisation numérique,Master,GAMMA,1,False,21,True,True,ESB,https://github.com/Aymenbenbrik/OptimisationNumerique,,https://esprit.blackboard.com/ultra/courses/_2974_1/outline,Cours pour mettre les bases du Machine Learning  (Supervisé)
Mathématiques et Statistiques,2022-2023,Algèbre 1,Licence,LMAD,1,False,84,True,False,ESB,https://github.com/Aymenbenbrik/Algebre1-2022-,,https://esprit.blackboard.com/ultra/courses/_26545_1/outline,
Sciences des données,2022-2023,Analyse des données,Licence,LMAD,1,False,42,True,True,ESB,https://github.com/Aymenbenbrik/Analyse-des-donn-es,,https://esprit.blackboard.com/ultra/courses/_26551_1/outline,Cours fondamental pour comprendre l'enjeu des analyses multidimensionnelles
Intelligence Artificielle,2022-2023,Introduction Data Science,Licence,LMAD,1,False,21,True,True,ESB,https://github.com/Aymenbenbrik/FundamentalsNLP,,https://esprit.blackboard.com/ultra/courses/_26558_1/outline,Cours 100% pratique avec des projets faisant intervenir des données textuelles (Text Mining) ainsi que des applications de Machine Learning dans ce contexte (NLP)
Intelligence Artificielle,2022-2023,Deep Learning,Master,BA,1,False,42,True,True,ESB,https://github.com/Aymenbenbrik/DeepLearningCourse,,https://esprit.blackboard.com/ultra/courses/_26555_1/outline|https://esprit.blackboard.com/ultra/courses/_3785_1/outline,"Après l'echec de tous les intervenants experts à ce module : Les étudiants trouvent qu'il n'y a pas un compromis entre la théorie et la pratique dans ce module. D’où la décision de prendre en charge le module, essayant de faire ce compromis -> Résultat satisfaisant"
Intelligence Artificielle,2022-2023,Apprentissage Statistique,Master,GAMMA,1,False,42,True,True,ESB,https://github.com/Aymenbenbrik/DeepLearningCourse,,https://esprit.blackboard.com/ultra/courses/_3808_1/outline,Cours de base en Deep Learning
Intelligence Artificielle,2022-2023,Fondements de la théorie de la décision,Licence,LBC-BI,1,False,21,True,True,ESB,https://github.com/Aymenbenbrik/DeepLearningCourse,,https://esprit.blackboard.com/ultra/courses/_3901_1/outline,Mettre à jour le module et le proposer en format proche du Machine Learning
Mathématiques et Statistiques,2022-2023,Statistiques inférentielles,Master,GAMMA,1,False,10,True,False,ESB,https://github.com/Aymenbenbrik/StatistiquesInf-rentielles,,https://esprit.blackboard.com/ultra/courses/_3724_1/outline,
Intelligence Artificielle,2022-2023,Programmation Python 2,Licence,LMAD,1,False,21,True,True,ESB,,,https://esprit.blackboard.com/ultra/courses/_26567_1/outline,Orienter le module vers le machine Learning (contrairement aux années précédentes)
Mathématiques et Statistiques,2022-2023,Algèbre 2,Licence,LMAD,1,False,42,True,False,ESB,https://github.com/Aymenbenbrik/Algebre2,https://www.youtube.com/playlist?list=PLTuHP93TC8cyiFERpbYQ_0ss9rH7VICS0,https://esprit.blackboard.com/ultra/courses/_26547_1/outline,Collaboration avec Madame Wafa Hamrouni pour enrichir le module par des exemples pratiques
Mathématiques et Statistiques,2022-2023,Analyse 4,Licence,LMAD,1,False,42,True,False,ESB,https://github.com/Aymenbenbrik/Analyse4,,https://esprit.blackboard.com/ultra/courses/_26550_1/outline,
Intelligence Artificielle,2022-2023,Optimisation numérique,Master,GAMMA,1,False,21,True,False,ESB,https://github.com/Aymenbenbrik/OptimisationNumerique,,https://esprit.blackboard.com/ultra/courses/_2974_1/outline,
Intelligence Artificielle,2022-2023,Programmation Python 3,Licence,LMAD,1,False,21,True,True,ESB,,,https://esprit.blackboard.com/ultra/courses/_26568_1/outline,"Orienter le module vers du Machine Learning avancé. Le cours intègre des notions plus poussées en IA, la continuité du module Programmation Python 2"
Mathématiques et Statistiques,2022-2023,Statistiques,Licence,LMAD,1,False,21,True,False,ESB,https://github.com/Aymenbenbrik/StatistiquesInf-rentielles,,https://esprit.blackboard.com/ultra/courses/_26569_1/outline,
Mathématiques et Statistiques,2022-2023,Analyse statistique avec R,Licence,LMAD,1,False,21,True,False,ESB,https://github.com/Aymenbenbrik/AnalyseStatistiqueR,,https://esprit.blackboard.com/ultra/courses/_26553_1/outline|https://esprit.blackboard.com/ultra/courses/_26554_1/outline,
Sciences des données,2022-2023,Séries Temporelles,Master,GAMMA,1,False,21,True,False,ESB,https://github.com/Aymenbenbrik/TimeSeriesR,https://www.youtube.com/playlist?list=PLTuHP93TC8cwcfvRb7T3O3izAmt_OzwyF,https://esprit.blackboard.com/ultra/courses/_2968_1/outline,
Sciences des données,2022-2023,Modèles linéaires généralisés,Master,GAMMA,1,False,10,True,False,ESB,https://github.com/Aymenbenbrik/Unsupervised-Learning,,https://esprit.blackboard.com/ultra/courses/_2976_1/outline,
Intelligence Artificielle,2023-2024,Apprentissage Statistique,Master,GAMMA,1,False,42,True,False,ESB,https://github.com/Aymenbenbrik/DeepLearningCourse,,https://esprit.blackboard.com/ultra/courses/_3808_1/outline,
Mathématiques et Statistiques,2023-2024,Statistiques inférentielles,Master,GAMMA,1,False,21,True,False,ESB,https://github.com/Aymenbenbrik/StatistiquesInf-rentielles,,https://esprit.blackboard.com/ultra/courses/_3724_1/outline,
Intelligence Artificielle,2023-2024,Programmation Python 2,Licence,LMAD,1,False,21,True,False,ESB,https://github.com/Aymenbenbrik/TimeSeriesR,https://www.youtube.com/playlist?list=PLTuHP93TC8cwcfvRb7T3O3izAmt_OzwyF,https://esprit.blackboard.com/ultra/courses/_26567_1/outline,"Après les changements sur le module Intelligence Artificielle qui devient un cours de Machine Learning allant d'un niveau basique à avancé, le cours de Python est orienté vers le traitement et l'analyse des séries temporelles en utilisant Python (Analyse graphique des résultats, Analyse statistique des modèles de forecasting)"
Intelligence Artificielle,2023-2024,Intelligence Artificielle,Licence,LMAD,1,False,56,True,True,ESB,https://github.com/Aymenbenbrik/Supervised-Learning,,https://esprit.blackboard.com/ultra/courses/_26557_1/outline,Proposer ce module en tant que cours avancé de Machine Learning
Intelligence Artificielle,2023-2024,Fondements de la théorie de la décision,Licence,LBC-BI,2,False,42,True,False,ESB,https://github.com/Aymenbenbrik/DeepLearningCourse,,https://esprit.blackboard.com/ultra/courses/_3901_1/outline,Ce cours est modifié pour intégrer une introduction aux réseaux de neuronnes
